Up	Down	Front	Back	Left	Right	AlgoRep
GREEN,GREEN,YELLOW,RED,YELLOW,WHITE,GREEN,BLUE,YELLOW,	RED,WHITE,GREEN,GREEN,WHITE,GREEN,WHITE,GREEN,ORANGE,	ORANGE,YELLOW,ORANGE,YELLOW,BLUE,YELLOW,WHITE,ORANGE,RED,	RED,ORANGE,ORANGE,ORANGE,GREEN,RED,WHITE,WHITE,BLUE,	YELLOW,WHITE,WHITE,BLUE,ORANGE,ORANGE,RED,RED,GREEN,	BLUE,BLUE,BLUE,RED,RED,BLUE,YELLOW,YELLOW,BLUE,	BBURUDBFUFFFRRFUUFLULUFUDLRRDBBDBDBLUDDFLLRRBRLLLBRDDF
BLUE,WHITE,ORANGE,YELLOW,YELLOW,YELLOW,RED,ORANGE,BLUE,	BLUE,GREEN,GREEN,YELLOW,WHITE,YELLOW,GREEN,RED,ORANGE,	GREEN,GREEN,YELLOW,GREEN,BLUE,ORANGE,WHITE,WHITE,ORANGE,	BLUE,ORANGE,RED,BLUE,GREEN,WHITE,YELLOW,WHITE,RED,	YELLOW,RED,WHITE,BLUE,ORANGE,RED,YELLOW,BLUE,RED,	ORANGE,GREEN,WHITE,BLUE,RED,RED,WHITE,ORANGE,GREEN,	FDLUUURLFLBDFRRDLBBBUBFLDDLFBBUDUBRLURDFLRUFRFLRFBDUDR
YELLOW,WHITE,RED,BLUE,YELLOW,ORANGE,WHITE,RED,GREEN,	ORANGE,GREEN,GREEN,ORANGE,WHITE,RED,WHITE,YELLOW,RED,	BLUE,GREEN,WHITE,RED,BLUE,WHITE,BLUE,YELLOW,RED,	BLUE,RED,GREEN,BLUE,GREEN,BLUE,WHITE,ORANGE,ORANGE,	ORANGE,ORANGE,RED,YELLOW,ORANGE,YELLOW,BLUE,GREEN,YELLOW,	ORANGE,WHITE,YELLOW,GREEN,RED,WHITE,YELLOW,BLUE,GREEN,	UDRFULDRBLDUBRDUFBFBDRFDFURLBBLDRDURLLRULUFBUFRBFBFDLL
ORANGE,RED,ORANGE,ORANGE,YELLOW,RED,RED,ORANGE,GREEN,	WHITE,YELLOW,BLUE,WHITE,WHITE,RED,RED,GREEN,WHITE,	BLUE,WHITE,RED,YELLOW,BLUE,GREEN,RED,GREEN,ORANGE,	GREEN,WHITE,GREEN,YELLOW,GREEN,GREEN,BLUE,WHITE,YELLOW,	WHITE,BLUE,YELLOW,RED,ORANGE,ORANGE,GREEN,BLUE,BLUE,	WHITE,YELLOW,YELLOW,ORANGE,RED,BLUE,YELLOW,BLUE,ORANGE,	LRLLURRLBDUULRFUFLFDRUFBRBLDUFDDRRBDDFURLLBFFBDBUBBFDU
YELLOW,YELLOW,YELLOW,ORANGE,YELLOW,ORANGE,BLUE,ORANGE,BLUE,	ORANGE,WHITE,BLUE,BLUE,WHITE,WHITE,GREEN,YELLOW,YELLOW,	YELLOW,BLUE,ORANGE,BLUE,BLUE,ORANGE,GREEN,RED,RED,	ORANGE,GREEN,ORANGE,BLUE,GREEN,GREEN,RED,RED,WHITE,	BLUE,GREEN,RED,RED,ORANGE,WHITE,RED,YELLOW,WHITE,	WHITE,YELLOW,GREEN,WHITE,RED,RED,WHITE,GREEN,GREEN,	UUULULFLFDUBDRRDBBUFLFFLBRRLDFFDDBUUFBRRLDRUDLBLFBBRRD
ORANGE,RED,RED,BLUE,YELLOW,YELLOW,GREEN,WHITE,ORANGE,	GREEN,GREEN,YELLOW,GREEN,WHITE,WHITE,WHITE,WHITE,YELLOW,	YELLOW,BLUE,WHITE,ORANGE,BLUE,YELLOW,RED,ORANGE,BLUE,	YELLOW,YELLOW,GREEN,RED,GREEN,BLUE,BLUE,GREEN,BLUE,	WHITE,YELLOW,ORANGE,RED,ORANGE,BLUE,RED,RED,WHITE,	BLUE,GREEN,GREEN,ORANGE,RED,WHITE,ORANGE,ORANGE,RED,	LRRFUUBDLFBBLRDLLRUFDLFURLFBBUBDDDDUDULRLFRRDUUBRBFFBF
BLUE,GREEN,RED,WHITE,YELLOW,ORANGE,BLUE,GREEN,RED,	ORANGE,GREEN,ORANGE,BLUE,WHITE,YELLOW,GREEN,BLUE,WHITE,	RED,RED,YELLOW,WHITE,BLUE,YELLOW,YELLOW,WHITE,BLUE,	YELLOW,YELLOW,YELLOW,WHITE,GREEN,BLUE,ORANGE,YELLOW,WHITE,	ORANGE,ORANGE,WHITE,ORANGE,ORANGE,BLUE,RED,RED,GREEN,	BLUE,GREEN,GREEN,RED,RED,RED,WHITE,ORANGE,GREEN,	FBRDULFBRFBBRRRDLBRRUDFUUDFLBLFDUBFDLLDLLFRRBUUUDBFLUD
BLUE,ORANGE,GREEN,YELLOW,YELLOW,ORANGE,BLUE,BLUE,ORANGE,	WHITE,GREEN,ORANGE,RED,WHITE,RED,BLUE,ORANGE,ORANGE,	YELLOW,YELLOW,WHITE,WHITE,BLUE,BLUE,GREEN,RED,WHITE,	RED,GREEN,WHITE,GREEN,GREEN,GREEN,YELLOW,BLUE,ORANGE,	RED,ORANGE,RED,YELLOW,ORANGE,BLUE,YELLOW,WHITE,RED,	BLUE,WHITE,YELLOW,RED,RED,WHITE,GREEN,YELLOW,GREEN,	FLBUULFFLFDURRDBUBUUDDFFBRDDBLRDRFLLRLRULFUDRRBDBBBUFL
YELLOW,GREEN,ORANGE,ORANGE,YELLOW,RED,GREEN,WHITE,ORANGE,	BLUE,ORANGE,WHITE,GREEN,WHITE,YELLOW,ORANGE,GREEN,YELLOW,	WHITE,BLUE,GREEN,ORANGE,BLUE,YELLOW,RED,BLUE,BLUE,	YELLOW,YELLOW,RED,YELLOW,GREEN,BLUE,GREEN,RED,BLUE,	GREEN,WHITE,RED,RED,ORANGE,GREEN,WHITE,WHITE,YELLOW,	WHITE,WHITE,BLUE,RED,RED,ORANGE,RED,BLUE,ORANGE,	UBLLURBDLDDFRRLRFLDFBLFURFFFLDBDULBUBDRRLBDDUUURUBFBRF
YELLOW,WHITE,ORANGE,BLUE,YELLOW,GREEN,ORANGE,RED,BLUE,	BLUE,RED,RED,ORANGE,WHITE,YELLOW,BLUE,BLUE,ORANGE,	GREEN,GREEN,WHITE,WHITE,BLUE,YELLOW,YELLOW,YELLOW,GREEN,	BLUE,ORANGE,RED,YELLOW,GREEN,WHITE,GREEN,RED,YELLOW,	GREEN,ORANGE,YELLOW,BLUE,ORANGE,RED,RED,GREEN,ORANGE,	RED,WHITE,WHITE,ORANGE,RED,BLUE,WHITE,GREEN,WHITE,	UDLFUBLRFRDDLRFDBDBBDDFUUUBFRRLDUFFLBLUFLRRBLFLRUBDBRU
