Facelets	Pattern	Solution
BBURUDBFUFFFRRFUUFLULUFUDLRRDBBDBDBLUDDFLLRRBRLLLBRDDF	UDUDUDUDURLRLRLRLRFBFBFBFBFDUDUDUDUDLRLRLRLRLBFBFBFBFB	U2 L D' L2 F' R' F' U' D' L' B U D2 F2 D2 L2 U' L2 U' B2 U' 
FDLUUURLFLBDFRRDLBBBUBFLDDLFBBUDUBRLURDFLRUFRFLRFBDUDR	RRRRURRRRFFFFRFFFFUUUUFUUUULLLLDLLLLBBBBLBBBBDDDDBDDDD	R2 U R' B D2 F' L B' R F2 R D R2 L2 D R2 U2 L2 U' F2 D 
UDRFULDRBLDUBRDUFBFBDRFDFURLBBLDRDURLLRULUFBUFRBFBFDLL	DDDUUDDUDFFFRRFFRFRRRRFFRFRUUUUDDUDUBLBLLBBBBLLLLBBLBL	F' D R L B2 R F' D' B2 L' B L2 U F2 L2 U L2 B2 U2 L2 F2 
LRLLURRLBDUULRFUFLFDRUFBRBLDUFDDRRBDDFURLLBFFBDBUBBFDU	RRRUUURRRBBBRRRBBBDDDFFFDDDLLLDDLLDLFLFFLLFFFUUUBBUUBU	U2 R2 L' B' U' L B' D B2 L2 B' U' L2 F2 U B2 L2 U R2 
UUULULFLFDUBDRRDBBUFLFFLBRRLDFFDDBUUFBRRLDRUDLBLFBBRRD	UUDDUDDUULRLLRLLRLFBBBFBBBFDDUUDUUDDRLRRLRRLRBFFFBFFFB	U B2 U' F D2 B2 R2 U R F R' U L2 B2 D' L2 F2 D R2 L2 U2 
LRRFUUBDLFBBLRDLLRUFDLFURLFBBUBDDDDUDULRLFRRDUUBRBFFBF	UUUUUUUUULLLLRLLLLBBBBFBBBBDDDDDDDDDRRRRLRRRRFFFFBFFFF	U L2 D2 B D2 R D' F' R2 F' L' F2 R2 D2 L2 B2 D B2 L2 D L2 
FBRDULFBRFBBRRRDLBRRUDFUUDFLBLFDUBFDLLDLLFRRBUUUDBFLUD	FFFFUFFFFUUUURUUUURRRRFRRRRBBBBDBBBBDDDDLDDDDLLLLBLLLL	U F D' F2 L2 B' U' R2 U D B L U D F2 D R2 F2 L2 D2 R2 B2 
FLBUULFFLFDURRDBUBUUDDFFBRDDBLRDRFLLRLRULFUDRRBDBBBUFL	RFRFUFRFRFUFURUFUFURURFRURULBLBDBLBLBDBDLDBDBDLDLBLDLD	U B R' F' U2 D2 F' R F2 U' R' F2 R2 U F2 D' R2 B2 U' F2 U' 
UBLLURBDLDDFRRLRFLDFBLFURFFFLDBDULBUBDRRLBDDUUURUBFBRF	UUUUUUUUURRRRRRRRRFBFFFFFBFDDDDDDDDDLLLLLLLLLBFBBBBBFB	R U' R2 F' R D R' L2 F L' F' D L2 F2 U R2 B2 U R2 B2 D 
UDLFUBLRFRDDLRFDBDBBDDFUUUBFRRLDUFFLBLUFLRRBLFLRUBDBRU	UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	U R' L F L' U' F' D R F' L' B2 U L2 B2 D L2 U2 R2 B2 D 
URBLUBDDBURDLRDLDBFBLLFFULDBBFUDFLRRRURBLDFFRLUFRBUDFU	UDUDUDUDURLRLRLRLRFBFBFBFBFDUDUDUDUDLRLRLRLRLBFBFBFBFB	U2 B' L B2 D F R B' L U2 D2 B' R2 D B2 U2 B2 R2 B2 U2 L2 D2 
BLBDUULUDBLRDRFLBUUBLRFFURDLDFRDRRUFRBFLLUFFBDDULBBRFD	RRRRURRRRFFFFRFFFFUUUUFUUUULLLLDLLLLBBBBLBBBBDDDDBDDDD	U2 L2 U2 D' F' D F2 D F' L U' R U' R2 B2 L2 F2 R2 U R2 D2 R2 
ULFUUURRURLLLRRUBLDFFLFFBDRURBRDDDFBFBFFLDBBLDBLUBDDUR	DDDUUDDUDFFFRRFFRFRRRRFFRFRUUUUDDUDUBLBLLBBBBLLLLBBLBL	U' F L F' R' D R U' L B2 L B' U' F2 U B2 U' B2 L2 F2 D 
LUFBUUUDDLLRDRRDDLBFFFFRUDBLLRRDBRBFDURFLRFUBUFBBBLULD	RRRUUURRRBBBRRRBBBDDDFFFDDDLLLDDLLDLFLFFLLFFFUUUBBUUBU	U R' B' R' F2 R2 U' L U' F2 L U' D2 F2 U2 D' B2 L2 U F2 L2 
UDDBURDDBUFLFRLFDFRRLRFLUBRFDUBDFRFLBLBRLUFULBLRUBBDUD	UUDDUDDUULRLLRLLRLFBBBFBBBFDDUUDUUDDRLRRLRRLRBFFFBFFFB	R2 F2 D2 F2 B' R D R2 F' B' L F2 U' B2 L2 U D2 R2 U' R2 U 
UUBUUBUDBDRLFRFDUDBBRBFRFBRUUFDDLLDFFRRDLLBRRUFLLBFLLD	UUUUUUUUULLLLRLLLLBBBBFBBBBDDDDDDDDDRRRRLRRRRFFFFBFFFF	R' U' R2 B' R2 B2 D F2 B' U' F2 R2 U' F2 U2 R2 D R2 D2 
BDLRULLRRDFFBRLDRLBFFFFUUDBBRRLDURDDLBULLUUBRUBDUBDFFF	FFFFUFFFFUUUURUUUURRRRFRRRRBBBBDBBBBDDDDLDDDDLLLLBLLLL	U D' L' B L' F L U F R F L' U2 L2 U' F2 U' R2 U' B2 R2 U2 
LFRUULBBDBFBDRBLFRDDLLFLFRDRBFDDUBUUURRFLBLRDURFUBDFLU	RFRFUFRFRFUFURUFUFURURFRURULBLBDBLBLBDBDLDBDBDLDLBLDLD	U2 R' U' B D F D L' F2 D2 L U D2 F2 L2 F2 L2 U' D2 L2 U 
UBBRUDBLFRBRRRUFBBLFDDFFFULUFDDDLBLUFUDBLRLFRDULLBRRDU	UUUUUUUUURRRRRRRRRFBFFFFFBFDDDDDDDDDLLLLLLLLLBFBBBBBFB	B' L' F D B' U B' D L' F2 B R2 U R2 F2 R2 F2 R2 D F2 D' 
FRRUUFURDBLFRRFFLUBDLRFBLFUFULLDDBBBULRDLURBDDFRDBBLUD	UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	U R2 U F R' B' R F2 D F' L' D' R2 D B2 D' L2 B2 D R2 L2 
ULDFUBBRRBDLFRBFFLUUDBFLRFDUDRLDUFUDRRLDLUUDBBBFRBRFLL	UDUDUDUDURLRLRLRLRFBFBFBFBFDUDUDUDUDLRLRLRLRLBFBFBFBFB	D' B R U' L2 D2 B2 U' B' R U F2 U R2 D' R2 U' B2 U D2 
ULLLURFBBDUBBRUBLFURRDFDRFUDRRFDBUULLURRLLLDFDFBBBDDFF	RRRRURRRRFFFFRFFFFUUUUFUUUULLLLDLLLLBBBBLBBBBDDDDBDDDD	D B D2 L2 U2 F2 R2 B' D R' L2 U' F2 D' F2 U' F2 R2 D2 F2 
BDBDURFFRDFDRRLUBLLLFBFURFBBULDDURLDRFURLRUBDLLUUBDFBF	DDDUUDDUDFFFRRFFRFRRRRFFRFRUUUUDDUDUBLBLLBBBBLLLLBBLBL	U R L F' U2 D' R2 F2 U' L' F2 B' D' R2 B2 U R2 D' B2 D2 F2 U2 
DRUUUDDBRULLBRBFFLLLBFFDBURLFUUDLRRURRFFLDFLDFDBUBRBBD	RRRUUURRRBBBRRRBBBDDDFFFDDDLLLDDLLDLFLFFLLFFFUUUBBUUBU	R F L F2 U R2 L F2 L2 B D' F2 D F2 L2 F2 D2 
BDLLURUFRDBDRRRDFURLFLFUBFLRDBLDUBBLDDFFLBLUUFBRDBRFUU	UUDDUDDUULRLLRLLRLFBBBFBBBFDDUUDUUDDRLRRLRRLRBFFFBFFFB	L U R2 U2 D' R F L2 F2 R2 B R2 D B2 D2 B2 L2 D' 
RRRUURUUBDDBFRBFLURLRFFRLULDBDLDBLLLDFFULDUDBUBFDBRFFB	UUUUUUUUULLLLRLLLLBBBBFBBBBDDDDDDDDDRRRRLRRRRFFFFBFFFF	U2 L' B2 L' U2 F' B2 U' B' R F2 U D2 F2 B2 R2 F2 D' R2 D' 
LFRLUUBBLBFUDRRUUFDDUDFFULLBUFLDBLFDFDRBLRBBRFRDUBRRLD	FFFFUFFFFUUUURUUUURRRRFRRRRBBBBDBBBBDDDDLDDDDLLLLBLLLL	R' L' U F' U2 R D2 R' B U2 B R2 U L2 B2 U2 D R2 U B2 U2 
FRRBUBDDURLBDRDLUDRLFLFBLBFDUUFDRLUFRRBRLFUUBUDDFBFLLB	RFRFUFRFRFUFURUFUFURURFRURULBLBDBLBLBDBDLDBDBDLDLBLDLD	F' U2 R2 D' L2 B' R' B' U D L' B2 U D' B2 R2 L2 U R2 B2 U2 
