Cube	Twist	Flip	Parity	FRtoBR	URFtoDLF	URtoDF	URtoUL	UBtoDF	CornerPermutation	CornerOrientation	EdgePermutation	EdgeOrientation
UUUUUUUUURRRRRRRRRFFFFFFFFFDDDDDDDDDLLLLLLLLLBBBBBBBBB	0	0	0	0	0	0	0	114	URF,UFL,ULB,UBR,DFR,DLF,DBL,DRB	0,0,0,0,0,0,0,0	UR,UF,UL,UB,DR,DF,DL,DB,FR,FL,BL,BR	0,0,0,0,0,0,0,0,0,0,0,0
BBURUDBFUFFFRRFUUFLULUFUDLRRDBBDBDBLUDDFLLRRBRLLLBRDDF	591	841	1	1932	11524	101699	679	33	UFL,DBL,ULB,URF,UBR,DRB,DFR,DLF	0,2,1,0,2,2,0,2	DF,UF,DR,BL,UB,DL,BR,DB,UR,UL,FR,FL	0,1,1,0,1,0,0,1,0,0,1,1
FDLUUURLFLBDFRRDLBBBUBFLDDLFBBUDUBRLURDFLRUFRFLRFBDUDR	2105	556	0	5111	14793	180731	173	846	UFL,DRB,URF,DLF,DBL,DFR,UBR,ULB	2,2,1,2,2,2,2,2	UB,BL,UR,DL,UL,DB,UF,DR,FL,BR,DF,FR	0,1,0,0,0,1,0,1,1,0,0,0
UDRFULDRBLDUBRDUFBFBDRFDFURLBBLDRDURLLRULUFBUFRBFBFDLL	1533	1651	1	7687	4366	639392	980	1069	DBL,DFR,ULB,URF,UBR,UFL,DLF,DRB	2,0,0,2,2,1,0,2	DL,BR,FL,DR,FR,UB,BL,UL,DB,UR,UF,DF	1,1,0,0,1,1,1,0,0,1,1,1
LRLLURRLBDUULRFUFLFDRUFBRBLDUFDDRRBDDFURLLBFFBDBUBBFDU	1369	1992	0	3961	18827	444105	1211	199	DRB,URF,DBL,ULB,UFL,DFR,UBR,DLF	1,2,1,2,2,0,1,0	UR,DL,FL,DR,FR,UB,DF,DB,BL,UL,BR,UF	1,1,1,1,1,0,0,1,0,0,0,0
UUULULFLFDUBDRRDBBUFLFFLBRRLDFFDDBUUFBRRLDRUDLBLFBBRRD	994	1814	0	7074	5262	95833	303	582	DLF,URF,UFL,ULB,DFR,DBL,DRB,UBR	1,1,0,0,2,1,1,0	UL,FL,BL,UB,DB,DR,UF,UR,DL,DF,BR,FR	1,1,1,0,0,0,1,0,1,1,0,0
LRRFUUBDLFBBLRDLLRUFDLFURLFBBUBDDDDUDULRLFRRDUUBRBFFBF	1812	386	1	661	11035	373303	367	995	DLF,ULB,DBL,UBR,UFL,DRB,DFR,URF	2,1,1,1,0,1,0,0	UB,DF,UF,UR,DL,BL,BR,DB,UL,FL,FR,DR	0,0,1,1,0,0,0,0,0,1,0,1
FBRDULFBRFBBRRRDLBRRUDFUUDFLBLFDUBFDLLDLLFRRBUUUDBFLUD	2158	1192	0	11076	686	506073	489	1229	URF,DFR,UFL,UBR,DLF,ULB,DRB,DBL	2,2,2,1,2,2,1,0	BL,BR,DL,UB,UL,DB,FR,UF,UR,DF,FL,DR	1,0,0,1,0,1,0,1,0,0,0,0
FLBUULFFLFDURRDBUBUUDDFFBRDDBLRDRFLLRLRULFUDRRBDBBBUFL	1928	1753	0	2389	9538	257650	40	976	DLF,URF,DFR,UBR,DBL,DRB,UFL,ULB	2,1,2,2,1,0,2,2	DL,UF,UL,BL,UR,BR,DR,FL,FR,DF,UB,DB	1,1,0,1,1,0,1,1,0,0,1,1
UBLLURBDLDDFRRLRFLDFBLFURFFFLDBDULBUBDRRLBDDUUURUBFBRF	1004	1458	1	518	20155	374647	1183	10	DBL,DRB,UBR,UFL,DFR,URF,DLF,ULB	1,1,0,1,0,1,2,0	DR,DF,DL,UB,UF,FL,DB,BR,UR,BL,FR,UL	1,0,1,1,0,1,1,0,0,1,0,0
