CubeCornerPermutation	CubeCornerOrientation	CubeEdgePermutation	CubeEdgeOrientation	InvCubeCornerPermutation	InvCubeCornerOrientation	InvCubeEdgePermutation	InvCubeEdgeOrientation
URF,UFL,ULB,UBR,DFR,DLF,DBL,DRB	0,0,0,0,0,0,0,0	UR,UF,UL,UB,DR,DF,DL,DB,FR,FL,BL,BR	0,0,0,0,0,0,0,0,0,0,0,0	URF,UFL,ULB,UBR,DFR,DLF,DBL,DRB	0,0,0,0,0,0,0,0	UR,UF,UL,UB,DR,DF,DL,DB,FR,FL,BL,BR	0,0,0,0,0,0,0,0,0,0,0,0
UFL,DBL,ULB,URF,UBR,DRB,DFR,DLF	0,2,1,0,2,2,0,2	DF,UF,DR,BL,UB,DL,BR,DB,UR,UL,FR,FL	0,1,1,0,1,0,0,1,0,0,1,1	UBR,URF,ULB,DFR,DBL,DRB,UFL,DLF	0,0,2,1,0,1,1,1	FR,UF,FL,DR,UL,UR,DF,DB,BL,BR,UB,DL	0,1,0,1,1,0,0,1,1,1,0,0
UFL,DRB,URF,DLF,DBL,DFR,UBR,ULB	2,2,1,2,2,2,2,2	UB,BL,UR,DL,UL,DB,UF,DR,FL,BR,DF,FR	0,1,0,0,0,1,0,1,1,0,0,0	ULB,URF,DRB,DBL,DLF,UBR,DFR,UFL	2,1,1,1,1,1,1,1	UL,DL,DR,UR,DB,BL,UB,DF,BR,FR,UF,FL	0,0,0,0,1,0,0,1,0,1,1,0
DBL,DFR,ULB,URF,UBR,UFL,DLF,DRB	2,0,0,2,2,1,0,2	DL,BR,FL,DR,FR,UB,BL,UL,DB,UR,UF,DF	1,1,0,0,1,1,1,0,0,1,1,1	UBR,DLF,ULB,DFR,UFL,DBL,URF,DRB	1,2,0,1,0,0,1,1	FL,BL,DB,DF,UB,BR,UR,FR,DR,UL,DL,UF	1,1,0,1,0,1,1,0,1,0,1,1
DRB,URF,DBL,ULB,UFL,DFR,UBR,DLF	1,2,1,2,2,0,1,0	UR,DL,FL,DR,FR,UB,DF,DB,BL,UL,BR,UF	1,1,1,1,1,0,0,1,0,0,0,0	UFL,DFR,UBR,DBL,DLF,DRB,ULB,URF	1,1,1,2,0,0,2,2	UR,BR,FL,DF,UB,DL,UF,DB,DR,UL,FR,BL	1,0,0,0,1,0,1,1,1,1,0,0
DLF,URF,UFL,ULB,DFR,DBL,DRB,UBR	1,1,0,0,2,1,1,0	UL,FL,BL,UB,DB,DR,UF,UR,DL,DF,BR,FR	1,1,1,0,0,0,1,0,1,1,0,0	UFL,ULB,UBR,DRB,DFR,URF,DLF,DBL	2,0,0,0,1,2,2,2	DB,DL,UR,UB,DF,FL,FR,DR,BR,UF,UL,BL	0,1,1,0,0,1,1,0,0,1,1,0
DLF,ULB,DBL,UBR,UFL,DRB,DFR,URF	2,1,1,1,0,1,0,0	UB,DF,UF,UR,DL,BL,BR,DB,UL,FL,FR,DR	0,0,1,1,0,0,0,0,0,1,0,1	DRB,DFR,UFL,UBR,DBL,URF,ULB,DLF	0,0,2,2,0,1,2,2	UB,UL,FR,UR,BR,UF,DR,DB,BL,FL,DF,DL	1,1,0,0,1,0,0,0,0,1,0,0
URF,DFR,UFL,UBR,DLF,ULB,DRB,DBL	2,2,2,1,2,2,1,0	BL,BR,DL,UB,UL,DB,FR,UF,UR,DF,FL,DR	1,0,0,1,0,1,0,1,0,0,0,0	URF,ULB,DLF,UBR,UFL,DFR,DRB,DBL	1,1,1,2,1,1,0,2	FR,DB,DR,UB,BR,FL,UL,DF,DL,BL,UR,UF	0,1,0,1,0,0,0,1,0,0,1,0
DLF,URF,DFR,UBR,DBL,DRB,UFL,ULB	2,1,2,2,1,0,2,2	DL,UF,UL,BL,UR,BR,DR,FL,FR,DF,UB,DB	1,1,0,1,1,0,1,1,0,0,1,1	UFL,DBL,DRB,UBR,ULB,URF,DFR,DLF	2,1,1,1,1,1,2,0	DR,UF,UL,BL,DL,FL,UR,BR,FR,DB,UB,DF	1,1,0,1,1,0,1,1,0,1,1,0
DBL,DRB,UBR,UFL,DFR,URF,DLF,ULB	1,1,0,1,0,1,2,0	DR,DF,DL,UB,UF,FL,DB,BR,UR,BL,FR,UL	1,0,1,1,0,1,1,0,0,1,0,0	DLF,UBR,DRB,ULB,DFR,DBL,URF,UFL	2,2,0,0,0,1,2,2	FR,DR,BR,UB,UR,UF,UL,DL,BL,DF,FL,DB	0,0,0,1,1,0,1,1,0,1,1,0
